1	384	7236.000
1	768	12389.310
1	1152	17542.619
1	1536	22695.929
1	1920	27849.238
1	2304	33002.548
1	2688	38155.857
1	3072	43309.167
1	3456	48462.476
1	3840	53615.786
1	4224	58769.095
1	4608	63922.405
1	4992	69075.714
1	5376	74229.024
1	5760	79382.333
2	384	12937.778
2	768	28643.077
2	1152	39450.174
2	1536	43328.696
2	1920	47207.217
2	2304	51085.739
2	2688	55601.655
2	3072	60754.964
2	3456	65908.274
2	3840	71061.583
2	4224	76214.893
2	4608	81368.202
2	4992	86521.512
2	5376	86462.712
2	5760	81673.185
3	384	18639.556
3	768	35778.769
3	1152	50050.154
3	1536	64321.538
3	1920	71664.348
3	2304	75542.870
3	2688	79421.391
3	3072	83299.913
3	3456	87178.435
3	3840	91056.957
3	4224	94935.478
3	4608	98814.000
3	4992	93543.091
3	5376	88272.182
3	5760	83964.037
4	384	24341.333
4	768	47132.000
4	1152	57185.846
4	1536	71457.231
4	1920	85728.615
4	2304	100000.000
4	2688	99830.571
4	3072	99661.143
4	3456	99491.714
4	3840	99322.286
4	4224	99140.767
4	4608	98935.067
4	4992	95352.561
4	5376	90081.652
4	5760	86254.889
5	384	30043.111
5	768	60594.000
5	1152	64321.538
5	1536	78592.923
5	1920	92864.308
5	2304	100000.000
5	2688	100000.000
5	3072	99830.571
5	3456	99661.143
5	3840	99467.533
5	4224	99261.833
5	4608	99056.133
5	4992	97162.030
5	5376	91891.121
5	5760	88545.741
6	384	35744.889
6	768	74056.000
6	1152	73566.000
6	1536	85728.615
6	1920	100000.000
6	2304	100000.000
6	2688	100000.000
6	3072	100000.000
6	3456	99794.300
6	3840	99588.600
6	4224	99382.900
6	4608	99177.200
6	4992	98971.500
6	5376	93700.591
6	5760	90836.593
7	384	41446.667
7	768	87518.000
7	1152	87028.000
7	1536	92864.308
7	1920	100000.000
7	2304	100000.000
7	2688	99927.417
7	3072	99854.833
7	3456	99782.250
7	3840	99709.667
7	4224	99503.967
7	4608	99298.267
7	4992	99092.567
7	5376	95510.061
7	5760	93127.444
8	384	47148.444
8	768	81025.143
8	1152	90512.571
8	1536	100000.000
8	1920	99927.417
8	2304	99854.833
8	2688	99782.250
8	3072	99709.667
8	3456	99637.083
8	3840	99564.500
8	4224	99491.917
8	4608	99419.333
8	4992	99213.633
8	5376	97319.530
8	5760	95418.296
9	384	52850.222
9	768	74532.286
9	1152	80756.286
9	1536	83716.857
9	1920	86677.429
9	2304	89638.000
9	2688	92598.571
9	3072	95559.143
9	3456	98519.714
9	3840	99903.222
9	4224	99709.667
9	4608	99516.111
9	4992	99322.556
9	5376	99129.000
9	5760	97709.148
10	384	58552.000
10	768	61512.571
10	1152	64473.143
10	1536	67433.714
10	1920	70394.286
10	2304	73354.857
10	2688	76315.429
10	3072	79276.000
10	3456	82236.571
10	3840	85197.143
10	4224	88157.714
10	4608	91118.286
10	4992	94078.857
10	5376	97039.429
10	5760	100000.000
